"",2003,0
ALABAMA,1950,27500
ALABAMA,1951,35000
ALABAMA,1952,5452500
ALABAMA,1953,3070000
ALABAMA,1954,607530
ALABAMA,1955,7580000
ALABAMA,1956,2553250
ALABAMA,1957,7223280
ALABAMA,1958,2060000
ALABAMA,1959,330500
ALABAMA,1960,557500
ALABAMA,1961,2535000
ALABAMA,1962,927500
ALABAMA,1963,9228000
ALABAMA,1964,2157500
ALABAMA,1965,1352500
ALABAMA,1966,1127500
ALABAMA,1967,12752750
ALABAMA,1968,7277750
ALABAMA,1969,1630280
ALABAMA,1970,1175500
ALABAMA,1971,1652750
ALABAMA,1972,1907500
ALABAMA,1973,227035250
ALABAMA,1974,139518500
ALABAMA,1975,34905280
ALABAMA,1976,10332750
ALABAMA,1977,28135000
ALABAMA,1978,6452500
ALABAMA,1979,6710250
ALABAMA,1980,4635250
ALABAMA,1981,30355530
ALABAMA,1982,3912780
ALABAMA,1983,16092780
ALABAMA,1984,39258000
ALABAMA,1985,23213120
ALABAMA,1986,16828250
ALABAMA,1987,50030
ALABAMA,1988,31100000
ALABAMA,1989,521105000
ALABAMA,1990,17800000
ALABAMA,1991,3250000
ALABAMA,1992,21900000
ALABAMA,1993,500000
ALABAMA,1994,43066050
ALABAMA,1995,18776900
ALABAMA,1996,31193500
ALABAMA,1997,81929250
ALABAMA,1998,274093500
ALABAMA,1999,1581000
ALABAMA,2000,53379500
ALABAMA,2001,26758500
ALABAMA,2002,36757000
ALABAMA,2003,35065500
ALABAMA,2004,99294500
ALABAMA,2005,168288500
ALABAMA,2006,16581500
ALABAMA,2007,298819250
ALABAMA,2008,41885550
ALABAMA,2009,47436750
ALABAMA,2010,34548100
ALABAMA,2011,1875324849
ALABAMA,2012,7445050
ALABAMA,2013,8394450
ALABAMA,2014,38215160
ALABAMA,2015,14794500
ALABAMA,2016,4307700
ALABAMA,2017,31592800
ALABAMA,2018,8340450
ALABAMA,2019,981600
ALABAMA,2020,313390700
ALABAMA,2021,9084900
ALABAMA,2022,30969600
ALABAMA,2023,37766500
ALASKA,1993,500000
ALASKA,1996,11538000
ALASKA,1997,2092000
ALASKA,1998,2531000
ALASKA,1999,775000
ALASKA,2000,10090500
ALASKA,2001,3337100
ALASKA,2002,32545800
ALASKA,2003,21243000
ALASKA,2004,26731600
ALASKA,2005,8810800
ALASKA,2006,63594090
ALASKA,2007,4103060
ALASKA,2008,12171250
ALASKA,2009,31721600
ALASKA,2010,8824500
ALASKA,2011,28855500
ALASKA,2012,24145000
ALASKA,2013,30415600
ALASKA,2014,1471000
ALASKA,2015,26703800
ALASKA,2016,203000
ALASKA,2017,6525000
ALASKA,2018,3589000
ALASKA,2019,8545000
ALASKA,2020,35849000
ALASKA,2021,5855740
ALASKA,2022,18251800
ALASKA,2023,7060000
AMERICAN SAMOA,1998,0
AMERICAN SAMOA,1999,0
AMERICAN SAMOA,2000,590000
AMERICAN SAMOA,2001,270000
AMERICAN SAMOA,2002,50000
AMERICAN SAMOA,2003,53550000
AMERICAN SAMOA,2004,50020000
AMERICAN SAMOA,2005,7000
AMERICAN SAMOA,2006,254000
AMERICAN SAMOA,2007,250000
AMERICAN SAMOA,2008,0
AMERICAN SAMOA,2009,81000000
AMERICAN SAMOA,2010,120000
AMERICAN SAMOA,2011,0
AMERICAN SAMOA,2012,0
AMERICAN SAMOA,2013,0
AMERICAN SAMOA,2014,0
AMERICAN SAMOA,2015,13000000
AMERICAN SAMOA,2016,0
AMERICAN SAMOA,2017,447000
AMERICAN SAMOA,2018,50137000
AMERICAN SAMOA,2019,45000
AMERICAN SAMOA,2020,816000
AMERICAN SAMOA,2021,280000
AMERICAN SAMOA,2022,2330000
AMERICAN SAMOA,2023,852000
ARIZONA,1952,0
ARIZONA,1954,0
ARIZONA,1955,25000
ARIZONA,1956,250
ARIZONA,1957,27560
ARIZONA,1958,5060
ARIZONA,1959,275000
ARIZONA,1960,25000
ARIZONA,1961,525000
ARIZONA,1962,2750
ARIZONA,1963,0
ARIZONA,1964,25000
ARIZONA,1965,0
ARIZONA,1966,52500
ARIZONA,1967,75000
ARIZONA,1968,300000
ARIZONA,1969,275000
ARIZONA,1970,25000
ARIZONA,1971,2850000
ARIZONA,1972,30625180
ARIZONA,1973,0
ARIZONA,1974,280000
ARIZONA,1975,0
ARIZONA,1976,2500
ARIZONA,1977,0
ARIZONA,1978,0
ARIZONA,1979,25000
ARIZONA,1980,0
ARIZONA,1981,750000
ARIZONA,1982,30
ARIZONA,1983,552500
ARIZONA,1984,300000
ARIZONA,1985,25000
ARIZONA,1986,250000
ARIZONA,1987,2750
ARIZONA,1988,25000
ARIZONA,1989,25000
ARIZONA,1990,2500
ARIZONA,1991,250000
ARIZONA,1992,2652750
ARIZONA,1993,23320500
ARIZONA,1994,8310500
ARIZONA,1995,10099499
ARIZONA,1996,3418500
ARIZONA,1997,2198400
ARIZONA,1998,1496300
ARIZONA,1999,37409000
ARIZONA,2000,13060000
ARIZONA,2001,6667000
ARIZONA,2002,73653800
ARIZONA,2003,135439100
ARIZONA,2004,3059500
ARIZONA,2005,7290700
ARIZONA,2006,159398500
ARIZONA,2007,24459500
ARIZONA,2008,48804000
ARIZONA,2009,15428750
ARIZONA,2010,1060668300
ARIZONA,2011,106302500
ARIZONA,2012,21699000
ARIZONA,2013,154201200
ARIZONA,2014,28046500
ARIZONA,2015,10740500
ARIZONA,2016,6297000
ARIZONA,2017,11700300
ARIZONA,2018,67453000
ARIZONA,2019,15074500
ARIZONA,2020,3949350
ARIZONA,2021,105030050
ARIZONA,2022,44457300
ARIZONA,2023,19540750
ARKANSAS,1950,860030
ARKANSAS,1951,50000
ARKANSAS,1952,7235280
ARKANSAS,1953,1037500
ARKANSAS,1954,2177750
ARKANSAS,1955,3010500
ARKANSAS,1956,1205000
ARKANSAS,1957,1008500
ARKANSAS,1958,302560
ARKANSAS,1959,1600000
ARKANSAS,1960,8885250
ARKANSAS,1961,9380000
ARKANSAS,1962,325000
ARKANSAS,1963,25000
ARKANSAS,1964,1920000
ARKANSAS,1965,26945250
ARKANSAS,1966,507500
ARKANSAS,1967,7052500
ARKANSAS,1968,8420250
ARKANSAS,1969,27500
ARKANSAS,1970,6735000
ARKANSAS,1971,1877500
ARKANSAS,1972,5882530
ARKANSAS,1973,9903840
ARKANSAS,1974,26202500
ARKANSAS,1975,28630250
ARKANSAS,1976,29715500
ARKANSAS,1977,450500
ARKANSAS,1978,14458500
ARKANSAS,1979,48910500
ARKANSAS,1980,20125000
ARKANSAS,1981,1332500
ARKANSAS,1982,176945710
ARKANSAS,1983,4580530
ARKANSAS,1984,238205000
ARKANSAS,1985,53350060
ARKANSAS,1986,250000
ARKANSAS,1987,25250000
ARKANSAS,1988,148775000
ARKANSAS,1989,1350000
ARKANSAS,1990,775250
ARKANSAS,1991,3850500
ARKANSAS,1992,25550250
ARKANSAS,1993,62000000
ARKANSAS,1994,39205850
ARKANSAS,1995,4838250
ARKANSAS,1996,29327170
ARKANSAS,1997,284814210
ARKANSAS,1998,11005400
ARKANSAS,1999,927660
ARKANSAS,2000,536834410
ARKANSAS,2001,130450530
ARKANSAS,2002,20267880
ARKANSAS,2003,58572740
ARKANSAS,2004,25945790
ARKANSAS,2005,9594350
ARKANSAS,2006,60564070
ARKANSAS,2007,60288300
ARKANSAS,2008,729784700
ARKANSAS,2009,1116116850
ARKANSAS,2010,58087850
ARKANSAS,2011,518987500
ARKANSAS,2012,180559100
ARKANSAS,2013,72299100
ARKANSAS,2014,266334400
ARKANSAS,2015,18253000
ARKANSAS,2016,13382800
ARKANSAS,2017,37586000
ARKANSAS,2018,19823000
ARKANSAS,2019,24964500
ARKANSAS,2020,313809500
ARKANSAS,2021,31684500
ARKANSAS,2022,26316200
ARKANSAS,2023,169762000
ATLANTIC NORTH,2001,0
ATLANTIC NORTH,2002,0
ATLANTIC NORTH,2003,0
ATLANTIC NORTH,2004,0
ATLANTIC NORTH,2005,10000
ATLANTIC NORTH,2006,75000
ATLANTIC NORTH,2007,0
ATLANTIC NORTH,2008,181000
ATLANTIC NORTH,2009,5000
ATLANTIC NORTH,2010,12000
ATLANTIC NORTH,2011,1000
ATLANTIC NORTH,2012,9000
ATLANTIC NORTH,2013,5500
ATLANTIC NORTH,2014,6000
ATLANTIC NORTH,2015,1500
ATLANTIC NORTH,2016,0
ATLANTIC NORTH,2017,5010
ATLANTIC NORTH,2018,4000
ATLANTIC NORTH,2019,111000
ATLANTIC NORTH,2020,11000
ATLANTIC NORTH,2021,0
ATLANTIC NORTH,2022,20000
ATLANTIC NORTH,2023,10000
ATLANTIC SOUTH,1998,0
ATLANTIC SOUTH,2001,0
ATLANTIC SOUTH,2002,0
ATLANTIC SOUTH,2003,0
ATLANTIC SOUTH,2004,2000
ATLANTIC SOUTH,2005,0
ATLANTIC SOUTH,2006,501000
ATLANTIC SOUTH,2007,0
ATLANTIC SOUTH,2008,0
ATLANTIC SOUTH,2009,0
ATLANTIC SOUTH,2010,0
ATLANTIC SOUTH,2011,5150800
ATLANTIC SOUTH,2012,33000
ATLANTIC SOUTH,2013,4000
ATLANTIC SOUTH,2014,10100
ATLANTIC SOUTH,2015,2000
ATLANTIC SOUTH,2016,4000
ATLANTIC SOUTH,2017,500
ATLANTIC SOUTH,2018,0
ATLANTIC SOUTH,2019,10
ATLANTIC SOUTH,2020,0
ATLANTIC SOUTH,2021,0
ATLANTIC SOUTH,2022,5020
ATLANTIC SOUTH,2023,1000
CALIFORNIA,1951,2500000
CALIFORNIA,1952,0
CALIFORNIA,1953,5000
CALIFORNIA,1954,250
CALIFORNIA,1955,2500
CALIFORNIA,1956,50000
CALIFORNIA,1957,30
CALIFORNIA,1958,55500
CALIFORNIA,1959,2500
CALIFORNIA,1960,0
CALIFORNIA,1961,25000
CALIFORNIA,1962,30250
CALIFORNIA,1964,7750
CALIFORNIA,1965,25310
CALIFORNIA,1966,257500
CALIFORNIA,1967,7500
CALIFORNIA,1969,0
CALIFORNIA,1970,25000
CALIFORNIA,1971,0
CALIFORNIA,1972,0
CALIFORNIA,1973,25000
CALIFORNIA,1974,27530
CALIFORNIA,1975,30000
CALIFORNIA,1976,25000
CALIFORNIA,1977,5025000
CALIFORNIA,1978,3130090
CALIFORNIA,1979,2525030
CALIFORNIA,1980,3080000
CALIFORNIA,1981,30000
CALIFORNIA,1982,5110030
CALIFORNIA,1983,26030280
CALIFORNIA,1984,2530
CALIFORNIA,1985,252500
CALIFORNIA,1986,5280030
CALIFORNIA,1987,25500000
CALIFORNIA,1988,302750
CALIFORNIA,1989,2500
CALIFORNIA,1990,252500
CALIFORNIA,1991,750250
CALIFORNIA,1992,5888250
CALIFORNIA,1993,6316500
CALIFORNIA,1994,7211000
CALIFORNIA,1995,1292000
CALIFORNIA,1996,76795500
CALIFORNIA,1997,130984000
CALIFORNIA,1998,79192500
CALIFORNIA,1999,41498000
CALIFORNIA,2000,589892300
CALIFORNIA,2001,67917299
