"",2003,1
ALABAMA,1950,2
ALABAMA,1951,5
ALABAMA,1952,13
ALABAMA,1953,22
ALABAMA,1954,10
ALABAMA,1955,30
ALABAMA,1956,26
ALABAMA,1957,70
ALABAMA,1958,36
ALABAMA,1959,26
ALABAMA,1960,29
ALABAMA,1961,52
ALABAMA,1962,49
ALABAMA,1963,56
ALABAMA,1964,58
ALABAMA,1965,43
ALABAMA,1966,25
ALABAMA,1967,97
ALABAMA,1968,88
ALABAMA,1969,61
ALABAMA,1970,62
ALABAMA,1971,135
ALABAMA,1972,61
ALABAMA,1973,186
ALABAMA,1974,185
ALABAMA,1975,133
ALABAMA,1976,100
ALABAMA,1977,131
ALABAMA,1978,119
ALABAMA,1979,97
ALABAMA,1980,134
ALABAMA,1981,113
ALABAMA,1982,172
ALABAMA,1983,280
ALABAMA,1984,286
ALABAMA,1985,335
ALABAMA,1986,266
ALABAMA,1987,155
ALABAMA,1988,280
ALABAMA,1989,369
ALABAMA,1990,437
ALABAMA,1991,252
ALABAMA,1992,347
ALABAMA,1993,117
ALABAMA,1994,266
ALABAMA,1995,602
ALABAMA,1996,921
ALABAMA,1997,731
ALABAMA,1998,854
ALABAMA,1999,78
ALABAMA,2000,1008
ALABAMA,2001,765
ALABAMA,2002,759
ALABAMA,2003,1143
ALABAMA,2004,848
ALABAMA,2005,665
ALABAMA,2006,1143
ALABAMA,2007,1315
ALABAMA,2008,1695
ALABAMA,2009,1756
ALABAMA,2010,1274
ALABAMA,2011,2468
ALABAMA,2012,1723
ALABAMA,2013,935
ALABAMA,2014,890
ALABAMA,2015,892
ALABAMA,2016,976
ALABAMA,2017,1301
ALABAMA,2018,1027
ALABAMA,2019,1118
ALABAMA,2020,1353
ALABAMA,2021,1186
ALABAMA,2022,1030
ALABAMA,2023,1987
ALASKA,1993,1
ALASKA,1996,280
ALASKA,1997,278
ALASKA,1998,356
ALASKA,1999,72
ALASKA,2000,493
ALASKA,2001,449
ALASKA,2002,463
ALASKA,2003,334
ALASKA,2004,381
ALASKA,2005,146
ALASKA,2006,330
ALASKA,2007,257
ALASKA,2008,334
ALASKA,2009,464
ALASKA,2010,255
ALASKA,2011,431
ALASKA,2012,358
ALASKA,2013,269
ALASKA,2014,172
ALASKA,2015,220
ALASKA,2016,150
ALASKA,2017,231
ALASKA,2018,121
ALASKA,2019,143
ALASKA,2020,252
ALASKA,2021,283
ALASKA,2022,332
ALASKA,2023,249
AMERICAN SAMOA,1998,26
AMERICAN SAMOA,1999,16
AMERICAN SAMOA,2000,28
AMERICAN SAMOA,2001,25
AMERICAN SAMOA,2002,18
AMERICAN SAMOA,2003,13
AMERICAN SAMOA,2004,18
AMERICAN SAMOA,2005,28
AMERICAN SAMOA,2006,23
AMERICAN SAMOA,2007,16
AMERICAN SAMOA,2008,16
AMERICAN SAMOA,2009,15
AMERICAN SAMOA,2010,21
AMERICAN SAMOA,2011,11
AMERICAN SAMOA,2012,2
AMERICAN SAMOA,2013,4
AMERICAN SAMOA,2014,1
AMERICAN SAMOA,2015,14
AMERICAN SAMOA,2016,7
AMERICAN SAMOA,2017,13
AMERICAN SAMOA,2018,23
AMERICAN SAMOA,2019,21
AMERICAN SAMOA,2020,29
AMERICAN SAMOA,2021,14
AMERICAN SAMOA,2022,24
AMERICAN SAMOA,2023,23
ARIZONA,1952,1
ARIZONA,1954,2
ARIZONA,1955,7
ARIZONA,1956,7
ARIZONA,1957,10
ARIZONA,1958,13
ARIZONA,1959,11
ARIZONA,1960,6
ARIZONA,1961,24
ARIZONA,1962,10
ARIZONA,1963,14
ARIZONA,1964,10
ARIZONA,1965,9
ARIZONA,1966,14
ARIZONA,1967,15
ARIZONA,1968,16
ARIZONA,1969,17
ARIZONA,1970,18
ARIZONA,1971,25
ARIZONA,1972,36
ARIZONA,1973,14
ARIZONA,1974,39
ARIZONA,1975,27
ARIZONA,1976,30
ARIZONA,1977,21
ARIZONA,1978,27
ARIZONA,1979,29
ARIZONA,1980,22
ARIZONA,1981,25
ARIZONA,1982,34
ARIZONA,1983,56
ARIZONA,1984,28
ARIZONA,1985,24
ARIZONA,1986,61
ARIZONA,1987,33
ARIZONA,1988,39
ARIZONA,1989,26
ARIZONA,1990,61
ARIZONA,1991,36
ARIZONA,1992,82
ARIZONA,1993,48
